arm_name,base_mean,start_mean,slope,base_variance
CA_HOBBIES_1,1482.4,1197.07,0.2942,86278.62
CA_HOBBIES_2,112.44,51.25,0.0631,1415.7
CA_HOUSEHOLD_1,2565.81,1568.21,1.0285,375637.94
CA_HOUSEHOLD_2,816.61,676.44,0.1445,30144.75
CA_FOODS_1,1242.03,1008.33,0.2409,75377.29
CA_FOODS_2,1555.18,1331.09,0.231,139561.97
CA_FOODS_3,7267.64,6392.46,0.9022,2505487.93
TX_HOBBIES_1,738.7,558.5,0.1858,24388.71
TX_HOBBIES_2,98.05,54.33,0.0451,1381.68
TX_HOUSEHOLD_1,1867.86,1211.36,0.6768,184853.98
TX_HOUSEHOLD_2,415.59,301.32,0.1178,7434.18
TX_FOODS_1,675.19,514.86,0.1653,28419.22
TX_FOODS_2,1134.98,1092.44,0.0439,65754.61
TX_FOODS_3,4976.07,4822.41,0.1584,1155782.3
WI_HOBBIES_1,715.02,602.36,0.1161,30718.47
WI_HOBBIES_2,68.56,36.42,0.0331,675.31
WI_HOUSEHOLD_1,1605.93,989.69,0.6353,176595.24
WI_HOUSEHOLD_2,334.65,236.95,0.1007,5960.63
WI_FOODS_1,756.87,572.33,0.1902,33666.01
WI_FOODS_2,1325.82,594.47,0.754,182229.05
WI_FOODS_3,4725.38,3666.4,1.0917,1261774.75
