arm_name,day_of_week,multiplier
CA_HOBBIES_1,0,1.21
CA_HOBBIES_1,1,1.118
CA_HOBBIES_1,2,0.952
CA_HOBBIES_1,3,0.91
CA_HOBBIES_1,4,0.898
CA_HOBBIES_1,5,0.898
CA_HOBBIES_1,6,1.013
CA_HOBBIES_2,0,1.139
CA_HOBBIES_2,1,1.168
CA_HOBBIES_2,2,0.912
CA_HOBBIES_2,3,0.922
CA_HOBBIES_2,4,0.938
CA_HOBBIES_2,5,0.938
CA_HOBBIES_2,6,0.982
CA_HOUSEHOLD_1,0,1.259
CA_HOUSEHOLD_1,1,1.289
CA_HOUSEHOLD_1,2,0.978
CA_HOUSEHOLD_1,3,0.867
CA_HOUSEHOLD_1,4,0.83
CA_HOUSEHOLD_1,5,0.827
CA_HOUSEHOLD_1,6,0.948
CA_HOUSEHOLD_2,0,1.261
CA_HOUSEHOLD_2,1,1.262
CA_HOUSEHOLD_2,2,0.93
CA_HOUSEHOLD_2,3,0.856
CA_HOUSEHOLD_2,4,0.847
CA_HOUSEHOLD_2,5,0.856
CA_HOUSEHOLD_2,6,0.986
CA_FOODS_1,0,1.241
CA_FOODS_1,1,1.129
CA_FOODS_1,2,0.894
CA_FOODS_1,3,0.876
CA_FOODS_1,4,0.893
CA_FOODS_1,5,0.924
CA_FOODS_1,6,1.041
CA_FOODS_2,0,1.144
CA_FOODS_2,1,1.26
CA_FOODS_2,2,1.048
CA_FOODS_2,3,0.923
CA_FOODS_2,4,0.869
CA_FOODS_2,5,0.839
CA_FOODS_2,6,0.916
CA_FOODS_3,0,1.201
CA_FOODS_3,1,1.241
CA_FOODS_3,2,0.972
CA_FOODS_3,3,0.879
CA_FOODS_3,4,0.857
CA_FOODS_3,5,0.864
CA_FOODS_3,6,0.984
TX_HOBBIES_1,0,1.197
TX_HOBBIES_1,1,1.201
TX_HOBBIES_1,2,0.944
TX_HOBBIES_1,3,0.87
TX_HOBBIES_1,4,0.875
TX_HOBBIES_1,5,0.888
TX_HOBBIES_1,6,1.024
TX_HOBBIES_2,0,1.039
TX_HOBBIES_2,1,1.088
TX_HOBBIES_2,2,0.963
TX_HOBBIES_2,3,0.956
TX_HOBBIES_2,4,1.016
TX_HOBBIES_2,5,0.995
TX_HOBBIES_2,6,0.943
TX_HOUSEHOLD_1,0,1.229
TX_HOUSEHOLD_1,1,1.218
TX_HOUSEHOLD_1,2,0.967
TX_HOUSEHOLD_1,3,0.868
TX_HOUSEHOLD_1,4,0.86
TX_HOUSEHOLD_1,5,0.864
TX_HOUSEHOLD_1,6,0.992
TX_HOUSEHOLD_2,0,1.225
TX_HOUSEHOLD_2,1,1.223
TX_HOUSEHOLD_2,2,0.922
TX_HOUSEHOLD_2,3,0.862
TX_HOUSEHOLD_2,4,0.871
TX_HOUSEHOLD_2,5,0.895
TX_HOUSEHOLD_2,6,1.0
TX_FOODS_1,0,1.149
TX_FOODS_1,1,1.083
TX_FOODS_1,2,0.907
TX_FOODS_1,3,0.907
TX_FOODS_1,4,0.938
TX_FOODS_1,5,0.961
TX_FOODS_1,6,1.055
TX_FOODS_2,0,1.082
TX_FOODS_2,1,1.227
TX_FOODS_2,2,1.059
TX_FOODS_2,3,0.933
TX_FOODS_2,4,0.902
TX_FOODS_2,5,0.885
TX_FOODS_2,6,0.911
TX_FOODS_3,0,1.178
TX_FOODS_3,1,1.245
TX_FOODS_3,2,0.981
TX_FOODS_3,3,0.881
TX_FOODS_3,4,0.87
TX_FOODS_3,5,0.88
TX_FOODS_3,6,0.964
WI_HOBBIES_1,0,1.342
WI_HOBBIES_1,1,1.02
WI_HOBBIES_1,2,0.873
WI_HOBBIES_1,3,0.854
WI_HOBBIES_1,4,0.901
WI_HOBBIES_1,5,0.889
WI_HOBBIES_1,6,1.119
WI_HOBBIES_2,0,1.16
WI_HOBBIES_2,1,1.023
WI_HOBBIES_2,2,0.913
WI_HOBBIES_2,3,0.925
WI_HOBBIES_2,4,0.968
WI_HOBBIES_2,5,0.947
WI_HOBBIES_2,6,1.065
WI_HOUSEHOLD_1,0,1.301
WI_HOUSEHOLD_1,1,1.098
WI_HOUSEHOLD_1,2,0.885
WI_HOUSEHOLD_1,3,0.843
WI_HOUSEHOLD_1,4,0.859
WI_HOUSEHOLD_1,5,0.888
WI_HOUSEHOLD_1,6,1.124
WI_HOUSEHOLD_2,0,1.281
WI_HOUSEHOLD_2,1,1.131
WI_HOUSEHOLD_2,2,0.879
WI_HOUSEHOLD_2,3,0.852
WI_HOUSEHOLD_2,4,0.865
WI_HOUSEHOLD_2,5,0.898
WI_HOUSEHOLD_2,6,1.092
WI_FOODS_1,0,1.227
WI_FOODS_1,1,1.018
WI_FOODS_1,2,0.877
WI_FOODS_1,3,0.92
WI_FOODS_1,4,0.929
WI_FOODS_1,5,0.938
WI_FOODS_1,6,1.091
WI_FOODS_2,0,1.152
WI_FOODS_2,1,1.156
WI_FOODS_2,2,0.985
WI_FOODS_2,3,0.932
WI_FOODS_2,4,0.915
WI_FOODS_2,5,0.898
WI_FOODS_2,6,0.96
WI_FOODS_3,0,1.228
WI_FOODS_3,1,1.154
WI_FOODS_3,2,0.923
WI_FOODS_3,3,0.888
WI_FOODS_3,4,0.886
WI_FOODS_3,5,0.895
WI_FOODS_3,6,1.024
