arm_name,step,multiplier,type
CA_FOODS_3,100,0.78,MICRO
CA_FOODS_3,120,0.79,MICRO
CA_FOODS_3,121,0.82,MICRO
CA_FOODS_3,134,0.79,MICRO
CA_FOODS_3,142,0.81,MICRO
CA_FOODS_3,154,1.24,MICRO
CA_FOODS_3,183,0.82,MICRO
CA_FOODS_3,219,0.83,MICRO
CA_FOODS_3,276,0.77,MICRO
CA_FOODS_3,299,1.49,MICRO
CA_FOODS_3,302,0.79,MICRO
CA_FOODS_3,328,1.33,MICRO
CA_FOODS_3,329,1.49,MICRO
CA_FOODS_3,331,0.0,MEGA
CA_FOODS_3,334,1.28,MICRO
CA_FOODS_3,336,1.23,MICRO
CA_FOODS_3,338,0.61,MICRO
CA_FOODS_3,358,1.16,MICRO
CA_FOODS_3,435,1.17,MICRO
CA_FOODS_3,485,0.84,MICRO
CA_FOODS_3,522,1.15,MICRO
CA_FOODS_3,584,1.25,MICRO
CA_FOODS_3,613,1.17,MICRO
CA_FOODS_3,642,0.77,MICRO
CA_FOODS_3,662,1.2,MICRO
CA_FOODS_3,663,1.49,MICRO
CA_FOODS_3,665,0.76,MICRO
CA_FOODS_3,666,0.82,MICRO
CA_FOODS_3,696,1.26,MICRO
CA_FOODS_3,697,0.0,MEGA
CA_FOODS_3,703,1.23,MICRO
CA_FOODS_3,704,0.79,MICRO
CA_FOODS_3,736,1.23,MICRO
CA_FOODS_3,793,0.76,MICRO
CA_FOODS_3,887,1.24,MICRO
CA_FOODS_3,888,1.15,MICRO
CA_FOODS_3,890,0.78,MICRO
CA_FOODS_3,940,1.18,MICRO
CA_FOODS_3,948,1.21,MICRO
CA_FOODS_3,1007,0.8,MICRO
CA_FOODS_3,1034,1.44,MICRO
CA_FOODS_3,1036,0.75,MICRO
CA_FOODS_3,1037,0.73,MICRO
CA_FOODS_3,1039,1.24,MICRO
CA_FOODS_3,1040,1.19,MICRO
CA_FOODS_3,1060,1.29,MICRO
CA_FOODS_3,1062,0.0,MEGA
CA_FOODS_3,1063,1.32,MICRO
CA_FOODS_3,1068,1.28,MICRO
CA_FOODS_3,1136,1.19,MICRO
CA_FOODS_3,1177,1.15,MICRO
CA_FOODS_3,1214,1.16,MICRO
CA_FOODS_3,1252,1.3,MICRO
CA_FOODS_3,1254,0.85,MICRO
CA_FOODS_3,1312,1.19,MICRO
CA_FOODS_3,1398,1.38,MICRO
CA_FOODS_3,1400,0.8,MICRO
CA_FOODS_3,1401,0.85,MICRO
CA_FOODS_3,1412,1.33,MICRO
CA_FOODS_3,1413,0.73,MICRO
CA_FOODS_3,1424,1.26,MICRO
CA_FOODS_3,1425,1.43,MICRO
CA_FOODS_3,1427,0.0,MEGA
CA_FOODS_3,1433,1.22,MICRO
CA_FOODS_3,1470,0.79,MICRO
CA_FOODS_3,1578,1.19,MICRO
CA_FOODS_3,1586,1.26,MICRO
CA_FOODS_3,1617,1.34,MICRO
CA_FOODS_3,1618,0.83,MICRO
CA_FOODS_3,1619,0.82,MICRO
CA_FOODS_3,1683,1.19,MICRO
CA_FOODS_3,1705,0.81,MICRO
CA_FOODS_3,1762,1.48,MICRO
CA_FOODS_3,1764,0.79,MICRO
CA_FOODS_3,1765,0.77,MICRO
CA_FOODS_3,1789,1.33,MICRO
CA_FOODS_3,1790,1.49,MICRO
CA_FOODS_3,1791,1.35,MICRO
CA_FOODS_3,1792,0.0,MEGA
CA_FOODS_3,1798,1.35,MICRO
CA_FOODS_3,1835,1.15,MICRO
CA_FOODS_3,1844,1.17,MICRO
CA_FOODS_3,1884,1.18,MICRO
CA_FOODS_3,1886,0.85,MICRO
TX_FOODS_3,6,1.33,MICRO
TX_FOODS_3,205,1.18,MICRO
TX_FOODS_3,216,1.3,MICRO
TX_FOODS_3,219,0.72,MICRO
TX_FOODS_3,246,1.17,MICRO
TX_FOODS_3,299,1.55,MEGA
TX_FOODS_3,300,1.29,MICRO
TX_FOODS_3,302,0.69,MICRO
TX_FOODS_3,321,1.23,MICRO
TX_FOODS_3,328,1.31,MICRO
TX_FOODS_3,329,1.44,MICRO
TX_FOODS_3,330,1.22,MICRO
TX_FOODS_3,331,0.0,MEGA
TX_FOODS_3,338,0.7,MICRO
TX_FOODS_3,429,1.17,MICRO
TX_FOODS_3,435,1.22,MICRO
TX_FOODS_3,489,0.8,MICRO
TX_FOODS_3,584,1.27,MICRO
TX_FOODS_3,663,1.58,MEGA
TX_FOODS_3,664,1.24,MICRO
TX_FOODS_3,666,0.8,MICRO
TX_FOODS_3,696,1.4,MICRO
TX_FOODS_3,697,0.0,MEGA
TX_FOODS_3,703,1.28,MICRO
TX_FOODS_3,747,1.25,MICRO
TX_FOODS_3,820,0.79,MICRO
TX_FOODS_3,850,1.22,MICRO
TX_FOODS_3,948,1.18,MICRO
TX_FOODS_3,956,0.79,MICRO
TX_FOODS_3,1034,1.6,MEGA
TX_FOODS_3,1036,0.71,MICRO
TX_FOODS_3,1037,0.66,MICRO
TX_FOODS_3,1040,1.32,MICRO
TX_FOODS_3,1056,1.3,MICRO
TX_FOODS_3,1058,0.82,MICRO
TX_FOODS_3,1061,1.39,MICRO
TX_FOODS_3,1062,0.0,MEGA
TX_FOODS_3,1063,1.31,MICRO
TX_FOODS_3,1068,1.34,MICRO
TX_FOODS_3,1078,0.74,MICRO
TX_FOODS_3,1100,1.19,MICRO
TX_FOODS_3,1109,0.78,MICRO
TX_FOODS_3,1112,1.26,MICRO
TX_FOODS_3,1252,1.28,MICRO
TX_FOODS_3,1281,1.23,MICRO
TX_FOODS_3,1290,0.85,MICRO
TX_FOODS_3,1311,0.81,MICRO
TX_FOODS_3,1312,1.32,MICRO
TX_FOODS_3,1398,1.4,MICRO
TX_FOODS_3,1420,1.25,MICRO
TX_FOODS_3,1425,1.31,MICRO
TX_FOODS_3,1426,1.45,MICRO
TX_FOODS_3,1427,0.0,MEGA
TX_FOODS_3,1428,1.3,MICRO
TX_FOODS_3,1433,1.29,MICRO
TX_FOODS_3,1516,0.72,MICRO
TX_FOODS_3,1517,1.39,MICRO
TX_FOODS_3,1597,0.85,MICRO
TX_FOODS_3,1599,2.04,MEGA
TX_FOODS_3,1600,0.72,MICRO
TX_FOODS_3,1601,0.64,MICRO
TX_FOODS_3,1617,1.31,MICRO
TX_FOODS_3,1683,1.33,MICRO
TX_FOODS_3,1762,1.49,MICRO
TX_FOODS_3,1765,0.76,MICRO
TX_FOODS_3,1790,1.43,MICRO
TX_FOODS_3,1791,1.67,MEGA
TX_FOODS_3,1792,0.0,MEGA
TX_FOODS_3,1798,1.47,MICRO
TX_FOODS_3,1800,0.78,MICRO
TX_FOODS_3,1927,0.8,MICRO
WI_FOODS_3,5,0.54,MICRO
WI_FOODS_3,8,1.25,MICRO
WI_FOODS_3,329,1.41,MICRO
WI_FOODS_3,331,0.0,MEGA
WI_FOODS_3,338,0.51,MICRO
WI_FOODS_3,471,0.78,MICRO
WI_FOODS_3,504,1.24,MICRO
WI_FOODS_3,522,1.29,MICRO
WI_FOODS_3,584,1.39,MICRO
WI_FOODS_3,645,1.22,MICRO
WI_FOODS_3,663,1.38,MICRO
WI_FOODS_3,695,1.27,MICRO
WI_FOODS_3,696,1.32,MICRO
WI_FOODS_3,697,0.0,MEGA
WI_FOODS_3,703,1.26,MICRO
WI_FOODS_3,704,0.63,MICRO
WI_FOODS_3,715,1.19,MICRO
WI_FOODS_3,736,1.26,MICRO
WI_FOODS_3,737,1.19,MICRO
WI_FOODS_3,738,0.75,MICRO
WI_FOODS_3,741,0.74,MICRO
WI_FOODS_3,765,1.21,MICRO
WI_FOODS_3,793,0.79,MICRO
WI_FOODS_3,887,1.33,MICRO
WI_FOODS_3,948,1.27,MICRO
WI_FOODS_3,1034,1.52,MEGA
WI_FOODS_3,1037,0.74,MICRO
WI_FOODS_3,1059,0.71,MICRO
WI_FOODS_3,1060,1.35,MICRO
WI_FOODS_3,1061,1.47,MICRO
WI_FOODS_3,1062,0.0,MEGA
WI_FOODS_3,1068,1.33,MICRO
WI_FOODS_3,1069,0.59,MICRO
WI_FOODS_3,1072,1.2,MICRO
WI_FOODS_3,1073,1.22,MICRO
WI_FOODS_3,1074,0.77,MICRO
WI_FOODS_3,1078,0.79,MICRO
WI_FOODS_3,1079,1.18,MICRO
WI_FOODS_3,1080,1.22,MICRO
WI_FOODS_3,1222,1.28,MICRO
WI_FOODS_3,1252,1.4,MICRO
WI_FOODS_3,1254,0.81,MICRO
WI_FOODS_3,1398,1.46,MICRO
WI_FOODS_3,1425,1.44,MICRO
WI_FOODS_3,1426,1.48,MICRO
WI_FOODS_3,1427,0.0,MEGA
WI_FOODS_3,1433,1.35,MICRO
WI_FOODS_3,1464,1.33,MICRO
WI_FOODS_3,1465,0.62,MICRO
WI_FOODS_3,1556,1.21,MICRO
WI_FOODS_3,1617,1.45,MICRO
WI_FOODS_3,1618,0.81,MICRO
WI_FOODS_3,1762,1.46,MICRO
WI_FOODS_3,1790,1.4,MICRO
WI_FOODS_3,1791,1.58,MEGA
WI_FOODS_3,1792,0.0,MEGA
WI_FOODS_3,1798,1.52,MEGA
WI_FOODS_3,1835,1.17,MICRO
WI_FOODS_3,1884,1.19,MICRO
WI_FOODS_3,1892,1.2,MICRO
WI_FOODS_3,1934,1.25,MICRO
