arm_name,switch_step,multiplier,direction
CA_HOBBIES_1,542,0.906,떡상(Up)
CA_HOBBIES_1,726,0.691,떡상(Up)
CA_HOBBIES_2,243,0.507,폭락(Down)
CA_HOBBIES_2,367,0.581,폭락(Down)
CA_HOBBIES_2,596,0.723,떡상(Up)
CA_HOBBIES_2,765,0.925,떡상(Up)
CA_HOBBIES_2,956,0.815,떡상(Up)
CA_HOBBIES_2,1344,1.2,떡상(Up)
CA_HOBBIES_2,1519,1.266,떡상(Up)
CA_HOBBIES_2,1681,1.328,떡상(Up)
CA_HOBBIES_2,1784,1.816,떡상(Up)
CA_HOUSEHOLD_1,498,0.699,폭락(Down)
CA_HOUSEHOLD_2,1485,0.97,떡상(Up)
CA_FOODS_1,843,0.964,폭락(Down)
CA_FOODS_1,988,1.126,폭락(Down)
CA_FOODS_1,1771,1.005,폭락(Down)
CA_FOODS_2,1674,1.15,떡상(Up)
TX_HOBBIES_1,725,0.758,떡상(Up)
TX_HOBBIES_1,1461,1.001,떡상(Up)
TX_HOBBIES_2,312,1.015,떡상(Up)
TX_HOBBIES_2,450,0.609,폭락(Down)
TX_HOBBIES_2,595,0.805,떡상(Up)
TX_HOBBIES_2,713,0.801,폭락(Down)
TX_HOBBIES_2,852,0.904,떡상(Up)
TX_HOBBIES_2,956,0.769,떡상(Up)
TX_HOBBIES_2,1072,0.756,폭락(Down)
TX_HOBBIES_2,1331,0.987,떡상(Up)
TX_HOBBIES_2,1576,1.368,떡상(Up)
TX_HOBBIES_2,1709,1.24,떡상(Up)
TX_HOBBIES_2,1887,1.274,떡상(Up)
TX_HOUSEHOLD_1,560,0.925,떡상(Up)
TX_HOUSEHOLD_1,734,1.023,떡상(Up)
TX_HOUSEHOLD_1,1106,0.893,폭락(Down)
TX_HOUSEHOLD_1,1462,0.998,떡상(Up)
TX_HOUSEHOLD_2,733,0.777,폭락(Down)
TX_HOUSEHOLD_2,1470,0.992,떡상(Up)
TX_HOUSEHOLD_2,1834,1.157,떡상(Up)
TX_FOODS_1,338,0.726,떡상(Up)
TX_FOODS_1,672,1.059,폭락(Down)
TX_FOODS_1,1385,0.918,떡상(Up)
TX_FOODS_2,412,1.093,떡상(Up)
TX_FOODS_2,781,1.04,떡상(Up)
TX_FOODS_3,989,1.193,떡상(Up)
WI_HOBBIES_1,725,0.763,폭락(Down)
WI_HOBBIES_1,973,0.914,폭락(Down)
WI_HOBBIES_1,1456,0.953,떡상(Up)
WI_HOBBIES_2,248,0.553,폭락(Down)
WI_HOBBIES_2,362,0.616,폭락(Down)
WI_HOBBIES_2,633,0.802,떡상(Up)
WI_HOBBIES_2,994,0.84,폭락(Down)
WI_HOBBIES_2,1142,1.086,떡상(Up)
WI_HOBBIES_2,1343,1.082,떡상(Up)
WI_HOBBIES_2,1445,1.554,폭락(Down)
WI_HOBBIES_2,1562,1.38,떡상(Up)
WI_HOBBIES_2,1690,1.194,떡상(Up)
WI_HOBBIES_2,1791,1.748,떡상(Up)
WI_HOUSEHOLD_1,488,0.66,폭락(Down)
WI_HOUSEHOLD_1,733,0.958,폭락(Down)
WI_HOUSEHOLD_1,1098,0.883,폭락(Down)
WI_HOUSEHOLD_1,1459,0.939,폭락(Down)
WI_HOUSEHOLD_1,1824,1.211,폭락(Down)
WI_HOUSEHOLD_2,364,0.702,폭락(Down)
WI_HOUSEHOLD_2,1106,0.889,떡상(Up)
WI_HOUSEHOLD_2,1461,1.039,폭락(Down)
WI_HOUSEHOLD_2,1826,1.154,떡상(Up)
WI_FOODS_1,363,0.848,떡상(Up)
WI_FOODS_1,554,0.996,떡상(Up)
WI_FOODS_1,1582,1.111,떡상(Up)
WI_FOODS_2,388,0.686,떡상(Up)
WI_FOODS_2,490,0.472,폭락(Down)
WI_FOODS_2,643,0.824,폭락(Down)
WI_FOODS_2,808,1.158,폭락(Down)
WI_FOODS_2,1281,0.944,폭락(Down)
WI_FOODS_2,1680,1.16,폭락(Down)
WI_FOODS_2,1799,1.425,폭락(Down)
WI_FOODS_3,489,0.893,떡상(Up)
WI_FOODS_3,1827,1.066,떡상(Up)
