,Avg Reward,Risk (Std),Win Count,Win Rate (%),Top 30% Count,Top 30% Rate (%)
SW_UCB_w100,379.5311466296147,63.26474650809623,4.0,20.0,11,55.00000000000001
UCB_0.05,369.3894140349018,49.22043017963271,2.0,10.0,11,55.00000000000001
DecayEps_0.5,365.14403683722855,56.74702002698252,1.0,5.0,10,50.0
UCB_0.1,360.5121650754648,97.98723822217988,3.0,15.0,7,35.0
Eps_0.05,345.92955937175213,56.14487035863791,3.0,15.0,7,35.0
Eps_0.1,337.18362471974183,59.696445755016136,1.0,5.0,4,20.0
Eps_0.01,304.3540452729061,69.81875399666689,2.0,10.0,5,25.0
Thompson_Collision,302.4843432158187,98.28070110193123,3.0,15.0,3,15.0
Thompson_x7,299.83853583129115,92.09494072645586,1.0,5.0,2,10.0
WSLS,189.97578051140619,13.44220994474365,0.0,0.0,0,0.0
Softmax_0.1,176.62975249198604,22.55739542027407,0.0,0.0,0,0.0
