Step,AI_Eps_0.05_e0.05,AI_Eps_0.1_e0.1,AI_Eps_0.2_e0.2,AI_Eps_0.3_e0.3,AI_Eps_0.5_e0.5,AI_UCB_c1.0_c1.0,AI_UCB_c2.0_c2.0,AI_Softmax_T0.5_t0.5,AI_Softmax_T1.0_t1.0
0,7.0,5.0,0.0,6.0,0.0,2.0,2.0,0.0,2.0
1,7.0,5.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0
2,7.0,5.0,3.0,6.0,4.0,0.0,0.0,8.0,1.0
3,7.0,5.0,3.0,6.0,4.0,1.0,4.0,1.0,2.0
4,7.0,5.0,3.0,5.0,6.0,7.0,7.0,6.0,6.0
5,7.0,5.0,3.0,6.0,4.0,3.0,3.0,0.0,6.0
6,7.0,5.0,3.0,6.0,0.0,8.0,6.0,6.0,5.0
7,7.0,5.0,3.0,6.0,5.0,5.0,1.0,0.0,5.0
8,7.0,5.0,5.0,6.0,4.0,6.0,8.0,4.0,8.0
9,7.0,5.0,3.0,6.0,4.0,2.0,2.0,1.0,2.0
10,7.0,5.0,3.0,6.0,4.0,4.0,4.0,4.0,4.0
11,7.0,5.0,1.0,7.0,8.0,3.0,3.0,4.0,6.0
12,7.0,5.0,0.0,7.0,3.0,8.0,1.0,5.0,8.0
13,7.0,5.0,3.0,4.0,3.0,1.0,8.0,2.0,1.0
14,7.0,5.0,3.0,4.0,3.0,0.0,0.0,2.0,6.0
15,7.0,5.0,3.0,4.0,7.0,7.0,7.0,1.0,5.0
16,7.0,5.0,3.0,1.0,3.0,6.0,6.0,0.0,2.0
17,7.0,5.0,3.0,4.0,3.0,5.0,5.0,7.0,7.0
18,7.0,5.0,3.0,4.0,4.0,2.0,2.0,0.0,1.0
19,7.0,5.0,2.0,4.0,5.0,3.0,3.0,8.0,0.0
20,7.0,5.0,2.0,4.0,7.0,4.0,4.0,3.0,2.0
21,7.0,5.0,2.0,4.0,3.0,8.0,1.0,5.0,6.0
22,7.0,5.0,2.0,4.0,3.0,1.0,8.0,7.0,3.0
23,7.0,5.0,2.0,4.0,3.0,2.0,0.0,2.0,3.0
24,7.0,5.0,2.0,4.0,3.0,0.0,7.0,3.0,3.0
25,7.0,5.0,3.0,4.0,3.0,7.0,6.0,7.0,2.0
26,1.0,5.0,8.0,4.0,1.0,6.0,5.0,2.0,2.0
27,7.0,5.0,2.0,4.0,3.0,5.0,2.0,1.0,8.0
28,7.0,5.0,1.0,4.0,0.0,3.0,3.0,2.0,0.0
29,7.0,5.0,2.0,4.0,0.0,4.0,4.0,2.0,2.0
30,7.0,5.0,2.0,4.0,3.0,2.0,1.0,0.0,4.0
31,7.0,5.0,2.0,4.0,1.0,3.0,8.0,5.0,3.0
32,7.0,3.0,2.0,0.0,7.0,8.0,0.0,7.0,5.0
33,7.0,3.0,8.0,4.0,3.0,1.0,7.0,1.0,1.0
34,7.0,3.0,2.0,4.0,3.0,0.0,2.0,4.0,6.0
