Step,AI_Eps_0.05_e0.05,AI_Eps_0.1_e0.1,AI_Eps_0.2_e0.2,AI_Eps_0.3_e0.3,AI_Eps_0.5_e0.5,AI_UCB_0.01_c0.01,AI_UCB_0.02_c0.05,AI_Softmax_0.05_t0.05,AI_Softmax_0.1_t0.1
0,7.0,5.0,0.0,6.0,0.0,2.0,2.0,0.0,2.0
1,7.0,5.0,3.0,7.0,0.0,7.0,1.0,3.0,8.0
2,6.0,5.0,2.0,7.0,4.0,0.0,4.0,3.0,1.0
3,7.0,2.0,2.0,7.0,8.0,5.0,3.0,3.0,7.0
4,7.0,1.0,2.0,7.0,8.0,6.0,6.0,3.0,2.0
5,7.0,2.0,2.0,7.0,4.0,8.0,8.0,3.0,1.0
6,7.0,2.0,2.0,2.0,2.0,4.0,7.0,3.0,2.0
7,7.0,2.0,2.0,5.0,0.0,1.0,5.0,3.0,4.0
8,7.0,2.0,2.0,2.0,4.0,3.0,0.0,3.0,4.0
9,7.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0
10,7.0,5.0,2.0,7.0,4.0,4.0,3.0,3.0,4.0
11,7.0,2.0,1.0,2.0,1.0,3.0,4.0,3.0,6.0
12,7.0,2.0,2.0,8.0,4.0,4.0,4.0,3.0,8.0
13,7.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,0.0
14,7.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0
15,7.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0
16,7.0,2.0,2.0,2.0,8.0,3.0,4.0,3.0,3.0
17,7.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0,2.0
18,7.0,2.0,2.0,2.0,8.0,3.0,4.0,3.0,8.0
19,7.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0
20,7.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0
21,7.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0
22,7.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0
23,7.0,2.0,2.0,2.0,7.0,4.0,4.0,3.0,5.0
24,7.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0,3.0
25,7.0,2.0,2.0,0.0,5.0,4.0,4.0,3.0,0.0
26,7.0,2.0,2.0,6.0,7.0,4.0,4.0,3.0,2.0
27,7.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0
28,7.0,2.0,6.0,2.0,7.0,4.0,4.0,3.0,4.0
29,7.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,1.0
30,7.0,2.0,2.0,2.0,6.0,3.0,4.0,3.0,3.0
31,7.0,0.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0
32,7.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,7.0
33,7.0,8.0,2.0,2.0,8.0,3.0,4.0,3.0,3.0
34,7.0,8.0,2.0,1.0,5.0,4.0,4.0,3.0,4.0
35,7.0,2.0,4.0,2.0,5.0,3.0,4.0,3.0,5.0
36,7.0,8.0,2.0,2.0,0.0,3.0,4.0,3.0,4.0
37,7.0,2.0,2.0,2.0,6.0,3.0,4.0,3.0,0.0
38,7.0,2.0,2.0,0.0,4.0,3.0,4.0,3.0,2.0
39,7.0,2.0,7.0,2.0,4.0,3.0,4.0,3.0,4.0
40,7.0,8.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0
41,7.0,2.0,1.0,2.0,8.0,3.0,4.0,3.0,1.0
42,3.0,2.0,2.0,2.0,7.0,3.0,4.0,3.0,4.0
43,3.0,2.0,2.0,2.0,5.0,3.0,4.0,3.0,5.0
44,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,0.0
45,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0
46,3.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0
47,3.0,2.0,2.0,7.0,4.0,3.0,4.0,3.0,4.0
48,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0
49,3.0,2.0,5.0,2.0,4.0,4.0,4.0,3.0,2.0
50,3.0,2.0,2.0,7.0,7.0,3.0,4.0,3.0,8.0
51,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0
52,3.0,2.0,2.0,0.0,7.0,4.0,4.0,3.0,4.0
53,3.0,2.0,7.0,3.0,4.0,3.0,4.0,3.0,2.0
54,3.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0
55,3.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,0.0
56,3.0,2.0,2.0,2.0,5.0,3.0,4.0,3.0,7.0
57,3.0,2.0,3.0,1.0,4.0,3.0,4.0,3.0,0.0
58,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0
59,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0
60,3.0,2.0,2.0,0.0,4.0,4.0,4.0,3.0,0.0
61,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,7.0
62,3.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,8.0
63,3.0,2.0,2.0,0.0,6.0,3.0,4.0,3.0,7.0
64,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0
65,3.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0
66,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,6.0
67,3.0,2.0,7.0,2.0,7.0,3.0,4.0,3.0,8.0
68,3.0,3.0,2.0,8.0,4.0,4.0,4.0,3.0,0.0
69,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,0.0
70,3.0,2.0,2.0,2.0,7.0,3.0,4.0,6.0,2.0
71,3.0,2.0,2.0,6.0,3.0,3.0,4.0,3.0,4.0
72,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,0.0
73,3.0,2.0,2.0,2.0,5.0,3.0,4.0,3.0,7.0
74,3.0,2.0,2.0,0.0,4.0,4.0,4.0,3.0,4.0
75,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,7.0
76,7.0,2.0,6.0,2.0,8.0,3.0,4.0,3.0,2.0
77,3.0,2.0,2.0,2.0,3.0,3.0,4.0,7.0,0.0
78,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0
79,3.0,2.0,7.0,2.0,7.0,3.0,4.0,3.0,8.0
80,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,0.0
81,3.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0
82,3.0,2.0,2.0,5.0,4.0,3.0,4.0,8.0,2.0
83,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0
84,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0
85,3.0,2.0,2.0,2.0,6.0,3.0,4.0,3.0,0.0
86,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,0.0
87,1.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0
88,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0
89,3.0,2.0,2.0,2.0,5.0,3.0,4.0,3.0,5.0
90,3.0,2.0,2.0,6.0,4.0,4.0,4.0,8.0,2.0
91,0.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,0.0
92,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,8.0
93,3.0,2.0,2.0,6.0,4.0,3.0,4.0,6.0,1.0
94,0.0,2.0,1.0,2.0,4.0,3.0,4.0,3.0,3.0
95,3.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0
96,3.0,2.0,2.0,3.0,4.0,3.0,4.0,7.0,3.0
97,3.0,2.0,1.0,2.0,4.0,3.0,4.0,3.0,7.0
98,3.0,2.0,2.0,2.0,6.0,3.0,4.0,3.0,7.0
99,3.0,2.0,2.0,2.0,6.0,3.0,4.0,3.0,1.0
100,3.0,2.0,7.0,2.0,3.0,3.0,4.0,3.0,7.0
101,3.0,2.0,5.0,4.0,4.0,3.0,4.0,6.0,7.0
102,3.0,2.0,2.0,2.0,0.0,3.0,4.0,2.0,8.0
103,3.0,2.0,8.0,2.0,4.0,3.0,4.0,3.0,3.0
104,3.0,2.0,2.0,2.0,4.0,3.0,4.0,8.0,4.0
105,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0
106,3.0,2.0,2.0,2.0,4.0,3.0,4.0,7.0,0.0
107,3.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,6.0
108,3.0,2.0,2.0,3.0,5.0,3.0,4.0,6.0,2.0
109,3.0,6.0,1.0,2.0,5.0,3.0,4.0,8.0,4.0
110,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,0.0
