Step,AI_Eps_0.05_e0.05,AI_Eps_0.1_e0.1,DecayEps_0.99_i0.5_m0.01_d0.99,DecayEps_0.995_i0.5_m0.01_d0.995,AI_UCB_0.1_c0.1,AI_Softmax_0.1_t0.1,WSLS_I0.15_LR0.1,SW_UCB_W100_C0.1,SW_UCB_W200_C0.1,SW_UCB_W500_C0.1
0,0.0031788212612918632,0.0031788212612918632,0.0031788212612918632,0.04372047973810772,0.0031788212612918632,-0.020618535593234264,0.04372047973810772,0.1957651420119895,0.0031788212612918632,0.0031788212612918632
1,0.0034905227513985773,0.0034905227513985773,0.0034905227513985773,0.010991442991002215,0.010991442991002215,0.0034905227513985773,0.0034905227513985773,0.010991442991002215,0.010991442991002215,0.010991442991002215
2,0.0076498344850547875,0.0076498344850547875,0.0076498344850547875,0.04621941250594984,0.014408707176782594,0.014408707176782594,0.04621941250594984,0.04885528993474009,0.014408707176782594,0.014408707176782594
3,0.005404676266099198,0.006654710971104252,0.005404676266099198,0.005404676266099198,0.006654710971104252,0.19546105675791217,0.006654710971104252,0.005404676266099198,0.006654710971104252,0.006654710971104252
4,0.04239868161431278,0.07923049513497006,0.02701783611974775,0.02701783611974775,0.01547964491689118,0.02701783611974775,0.01547964491689118,0.01547964491689118,0.01547964491689118,0.01547964491689118
5,0.006803237297503105,0.032145814669980274,0.006803237297503105,0.06862814379910616,0.025750211768896743,0.032145814669980274,0.006803237297503105,0.06862814379910616,0.025750211768896743,0.025750211768896743
6,0.02926873798475693,0.0032095785380656383,0.0032095785380656383,0.045558212078756176,0.0032095785380656383,0.19689168943076507,0.045558212078756176,0.0032095785380656383,0.0032095785380656383,0.0032095785380656383
7,0.00355482922432419,0.034692204892812877,0.16922360958935156,0.034692204892812877,0.00355482922432419,0.00355482922432419,0.00355482922432419,0.21497299733932815,0.00355482922432419,0.00355482922432419
8,0.03766195524483802,0.047190664378987314,0.034113026663346466,0.034113026663346466,0.013088460015480244,0.013088460015480244,0.013088460015480244,0.034113026663346466,0.013088460015480244,0.013088460015480244
9,0.04373189506583623,0.020326963425042234,0.2112669504758922,0.016977436187231135,0.016977436187231135,0.020326963425042234,0.020326963425042234,0.016977436187231135,0.016977436187231135,0.016977436187231135
10,0.013802729703904998,0.0017772646236351845,0.048423767775317636,0.0017772646236351845,0.0017772646236351845,0.0017772646236351845,0.10845978394495645,0.048423767775317636,0.0017772646236351845,0.0017772646236351845
11,0.004369188767695278,0.04690012900680921,0.03503542077682175,0.03849987413646991,0.004369188767695278,0.03503542077682175,0.03849987413646991,0.004369188767695278,0.004369188767695278,0.004369188767695278
12,0.009697055455949104,0.0015296063529626504,0.02374062171415331,0.0015296063529626504,0.02374062171415331,0.009697055455949104,0.0015296063529626504,0.14793806576687052,0.02374062171415331,0.02374062171415331
13,0.05385149484454056,-0.0015915946474280747,0.02998685247297457,0.010440639891398837,0.010440639891398837,0.02998685247297457,0.02998685247297457,0.010440639891398837,0.010440639891398837,0.010440639891398837
14,0.007907289828191813,0.007907289828191813,0.01923691343368983,0.029127797692277586,0.01923691343368983,0.029127797692277586,0.007907289828191813,0.2545556302855452,0.01923691343368983,0.01923691343368983
15,0.01823127382446355,0.00498602983543381,0.1373678456102686,0.10769913704674422,0.00498602983543381,0.01823127382446355,0.00498602983543381,0.10769913704674422,0.00498602983543381,0.00498602983543381
16,0.005961244336777288,0.01498178172707095,0.038065363250615686,0.01498178172707095,0.005961244336777288,0.13916101781796356,0.038065363250615686,0.038065363250615686,0.005961244336777288,0.005961244336777288
17,0.01612397599575974,0.06989387618216673,0.17409653885744594,0.007249888280709953,0.007249888280709953,0.007249888280709953,0.01612397599575974,0.007249888280709953,0.007249888280709953,0.007249888280709953
18,0.0474020358546589,0.07585502908434599,0.05390455731465036,0.05390455731465036,0.008991025420748203,0.008991025420748203,0.008991025420748203,0.008991025420748203,0.008991025420748203,0.008991025420748203
19,0.0026721272486326794,0.14340015743441553,0.0026721272486326794,0.0026721272486326794,0.0026721272486326794,0.21727676571732452,0.0026721272486326794,0.1401465546702562,0.0026721272486326794,0.0026721272486326794
20,0.054074846733376085,0.1798755449535274,0.03315228424060595,0.03315228424060595,0.008360022303190473,0.03315228424060595,0.008360022303190473,0.008360022303190473,0.008360022303190473,0.008360022303190473
