,Avg Reward,Risk (Std),Win Count,Win Rate (%),Top 30% Count,Top 30% Rate (%)
Eps_0.05_e0.05,82.07299106815717,12.534315648125034,337.0,33.7,828,82.8
Eps_0.1_e0.1,77.17453022023592,11.33171954442208,77.0,7.7,597,59.699999999999996
AS_UCB_7s20,76.1160141479302,12.501539527135959,79.0,7.9,458,45.800000000000004
AS_UCB_7s5,75.99568278889295,12.352641319141831,51.0,5.1,447,44.7
AS_UCB_7s10,75.90546578166906,12.214186645829784,69.0,6.9,453,45.300000000000004
AS_UCB_7s50,75.74083630076703,12.435285818489652,69.0,6.9,428,42.8
SW_UCB_100_c0.05,75.35197764969236,12.055989659624199,119.0,11.899999999999999,360,36.0
SW_AS_UCB_7s10,74.4958233228387,11.80970145294642,28.0,2.8000000000000003,333,33.300000000000004
SW_UCB_200_c0.05,72.6800126044381,13.243956456712926,69.0,6.9,249,24.9
AS_UCB_7s5_c0.1,72.46520500931224,11.239587176468671,3.0,0.3,191,19.1
AS_UCB_7s10_c0.1,72.1440623878562,11.304856875430945,9.0,0.8999999999999999,198,19.8
SW_AS_UCB_7s10_c0.1,70.8993850763563,11.179686723995236,4.0,0.4,123,12.3
SW_UCB_100_c0.1,70.31775187818856,11.05370880665065,29.0,2.9000000000000004,131,13.100000000000001
UCB_0.05_c0.05,69.63093401549314,14.72406223215934,49.0,4.9,172,17.2
SW_UCB_200_c0.1,63.353294328932364,11.6342458158875,5.0,0.5,27,2.7
UCB_0.1_c0.1,54.353146567979685,10.89606545021195,3.0,0.3,5,0.5
WSLS,49.953009402055216,6.796803802625534,0.0,0.0,0,0.0
Softmax_0.05_t0.05,49.22776317711189,6.743068218350332,0.0,0.0,0,0.0
Softmax_0.1_t0.1,48.68971536608312,6.3863819621020985,0.0,0.0,0,0.0
