Rank,Agent,Family,Param (c),Total Matches,Win Rate (%),Total Top 30% (%),Norm Mu (0-100),Norm Sigma,Score (Conservative 0-100),Top 30% (N=8),Top 30% (N=10),Top 30% (N=12),Top 30% (N=16),Top 30% (N=20),Top 30% (N=24),Top 30% (N=28),Top 30% (N=32)
1,Eps_e0.01,Eps,,32951,30.074959788777278,77.5848987891111,93.50325771358268,2.1655807610000672,87.00651543058248,36.28219484882419,48.38411819021237,52.55972696245734,69.02863891349277,81.59800814848349,85.27526395173453,89.3463633450817,91.85565539865925
2,TS_Collision_Aware,TS_Collision_Aware,,32892,28.064574972637722,79.92520977745349,90.29724361774512,2.136029784574157,83.88915426402265,40.44444444444444,56.97896749521989,59.68409176382099,73.0392156862745,84.21784472769409,86.76581325301204,89.47706127686878,91.6714204221335
3,SW_UCB_w100_c0.01,SW_UCB,0.01,33213,18.36028061301298,69.40956854243821,88.04589148351832,2.1205569615613196,81.68422059883437,43.22946175637394,58.364140480591495,58.69973694099963,66.80755142293604,79.5123062898815,77.61166137170622,73.53265145554681,68.46704871060172
4,SW_UCB_w50_c0.01,SW_UCB,0.01,33123,17.456148295746157,70.64879388944239,86.52809142414998,2.1224510496580105,80.16073827517594,45.08474576271186,58.4367816091954,59.19282511210763,68.70689655172414,77.09906199954244,77.55559708465707,74.8836462847055,73.15037487622011
5,SW_UCB_w200_c0.01,SW_UCB,0.01,33098,17.979938364855883,68.00713034020183,85.82357884291848,2.107495397925842,79.50109264914094,44.71544715447154,59.16704391127207,59.52906548933039,65.93860684769776,77.5278345830493,76.48047823650289,71.63131876893637,65.12222853894258
6,Eps_e0.05,Eps,,33141,15.913822757309676,73.11789022660753,85.00691838338929,2.118867443210737,78.65031605375708,34.73917869034406,51.07476635514019,49.98109640831758,65.85710251341429,77.54120879120879,80.7280915744042,83.37280909521554,84.3477015609337
7,UCB_c0.01,UCB,0.01,32968,19.476462023780634,66.36132006794467,84.3640889735383,2.1082850472969326,78.03923383164751,44.376391982182625,57.77239709443099,56.93909020817271,64.80349344978166,75.85895117540687,75.32419414597999,70.45088566827698,62.27646891853534
8,DecayEps_e0.01,DecayEps,,32936,14.139543356813213,65.85802769006558,84.26048388751956,2.1282698192657374,77.87567442972235,37.52873563218391,51.95043597980725,49.53739398612182,57.6271186440678,68.71534195933457,70.72164948453609,73.27313054499366,75.2547724989235
9,SW_UCB_w50_c0.05,SW_UCB,0.05,32620,11.048436541998774,50.51808706315144,80.79531171843665,2.1217753353647115,74.4299857123425,43.680188124632565,54.857659286037055,52.57535291873331,57.47894278245715,61.078818879330385,54.26864521102331,46.35653871177618,41.005139920045686
10,DecayEps_e0.05,DecayEps,,32744,8.502321035914976,58.340459320791595,80.6919419396204,2.093311685243656,74.41200688388943,36.14177803602557,48.35214446952596,45.11077158135981,51.54338963308096,61.64635548401931,63.788195103435186,64.12225956152984,64.01509653070111
